review_text,risk_score,fraud_probability,explanation
"I've had lots of tablets in the past, mostly from the Samsung line, but this is my first Amazon Fire, so I want to write this review for others who have never tried one of these. At the time that this was written, Alexa had not been added to the tablet.First, while this device runs an Android type of operating system, Amazon puts its own spin on the operating system. I don't feel like I'm using Android. This feels different to me. It doesn't have the same level of customization that Android users have come to appreciate. That being said, if you are an Amazon Prime member, this device has been tailored to be your content entertainment machine. It's simply a fun way to consume your magazines, books, etc.There are 3 on-screen buttons on the bottom of the device. The middle button immediately takes you to your home screen. The button to the left acts as a sort of ""back"" button. It also lets me get rid of my keyboard when I don't need it on screen, but it's open. The button to the right is super important. It took me a couple of days to realize what it does. That square shaped button is what you press you see what apps you have open. It lets you switch between apps, but it also lets you see which apps you have open and close them out. You can close them by pressing the ""X"" button in the corner of the window that appears or by touching the app window and swiping to the right. If you leave all of those apps open and you never close them, you'll drain your battery. Make sure you use that little square button to clear your apps.The device has several menus that you swipe left to view. First, you start with your home screen. You literally can stay on this screen and do anything you need to do on the tablet. All of your apps are housed here. You swipe up to view all of them. The tablet comes with several apps pre-installed such as Slik, Amazon's own internet browser, Audible, Good Reads, the Amazon app store, a weather app, etc. You can go to the Amazon app store to download other apps such as Twitter, Facebook, etc. You can combine the apps on this page into folders. You just drag one app to another app and a folder appears. This made my home screen much more manageable. You can change the size of the font on the home screen from normal to large or small in the device settings. This feature doesn't necessarily increase the size of the font within your apps, however. I believe it only changes the font on your main screens.If you have a magazine or newspaper subscription that is connected to your device, when you have a new issues, it will show up at the top of your home page screen under the heading of ""new items."" The device comes with a free 6 month subscription to the Washington Post. You'll see that under ""new items"" when you initially activate your tablet.You can change the wallpaper on the screen to use one of your own photos. You can do this through the settings menu on the device. If you want to use one of your own photos, however, you need to either take it on the device or move it into Amazon's Photos app, which is a cloud-based app.So far, I haven't found a way to effectively use a different photo management app that will let me change my wallpaper. I'm not crazy about the Amazon Photo app. I found it annoying to move my photos from my phone into Amazon's cloud just so I could view them on my tablet. That being said, I'm not planning to take photos on this device. I just wanted a few pet photos on there and the ability to change my wallpaper.Beyond the home screen, you can swipe to the right to view your other screen. They are pre-arranged to be: books, videos, games, shop, apps, music, audiobooks, and newstand. All of those screens are connected to your Amazon account. For example, if you have Kindle books you've already purchased, they automatically will appear under the Books menu. Your magazines and newspaper subscriptions will appear under the newstand menu. There doesn't seem to be a way to change the order of the menu pages. That bugs me, but it's not the end of the world. There's also one menu to the left of the ""home"" menu. It's the ""recent"" page. It shows you what you've received looked at on the tablet. I never use it, but it might be handy for some people.One of my favorite features of this tablet is Amazon's ""On Deck"" capability. If you're an Amazon Prime member, Amazon will periodically download a video to your device that it thinks you might like. The items don't count against your pre-installed memory and they automatically deleted off if your memory starts getting full. You can turn off the ""on deck"" feature if you don't like it. I've been content with the video playback capability. This isn't my major use of the device, but the images look fine and the audio is OK. I'll talk more about the speakers later. My other favorite feature of this tablet is viewing magazine content through the Newstand. I've tried 3 magazines on here and they all look gorgeous. Now, I can always have my magazines with me so if I'm stuck at the airport or at the doctor's office, I always have them. One of my regular magazines includes a free digital version of the magazine for free. I just had to connect my account to the device. This allows me to download the back issues of the magazine for as long as I've had an account. My other magazine didn't include a digital edition so I canceled the print edition of it and switched to the digital version. (It was an inexpensive magazine, anyway.) There are several magazines that you can try free for 30 days on the device. I did this with a third magazine and decided to keep it for a year. Viewing magazines on this gadget is a pleasure.The Kindle Fire doesn't come with the Google Play store installed. You can side load it to the device without rooting it (and breaking your warranty.) You can Google to find the instructions to do this. It's not difficult to do if you're fairly comfortable with technology. It probably took me 10 minutes. Most of the apps I wanted were in the Amazon store, but there were a handful that I had paid for through Google Play. The only way I could have them was to go back to access that store. They have worked fine so far. I despise the keyboard that Amazon pre-installed on this device. There are no lines between the letters on the keyboard. I suppose it designed to be better for swyping through keys, but I hate it. I fixed that problem by going to Google Play and downloading a new keyboard. It was a pretty easy problem to solve so I can't complain.Apps that are connecting to the Internet can be a little slow to load on this device compared to my other gadgets, but that generally doesn't bother me. If you were using this tablet to replace your personal laptop, however, that might drive you crazy. The screen on this device isn't bad. If I compare it to my fancy phone, it's not as shape, but when you think about the price of this device compared to my smartphone, the screen is outstanding.The speakers are OK. There are two of them located on the bottom of the screen. I won't say that they are fantastic. They aren't. In my opinion, they are fine for watching YouTube or a television show. They are not OK for listening to music if you are an audiophile. You can make it a little better by downloading a different music app instead of relying on the pre-install app, but still your music will sound tinny. That being said, you can always connect your tablet to a bluetooth speaker, use a pair of headphones, etc.This device wasn't made for taking pictures. It has a front and back camera, but they aren't designed to be spectacular. I'm not using them.I find this device a little difficult to hold in my hands. I think that's partly because of the size and partly because it feels very slick. Also, I do have some hand problems (similar to someone who has Carpal Tunnel syndrome). I think it will be easier to handle once my case arrives. I'm still waiting for it. I'm greatly enjoying this device. It's simply fun to use the tablet. There are weaknesses that come with that lower price tag, but you legitimately get a lot of bang for your buck, particularly if you regularly use Amazon services. If you don't typically use Amazon and you are just looking for a tablet for viewing the Internet and you're looking for a low price tag, this device may be OK for you.",0.9999997847670146,0.019748042392631036,"{'risk_score': 0.9999997847670146, 'fraud_probability': 0.019748042392631036, 'risk_level': 'low', 'reasons': ['Unusual review length distribution', 'Semantic outlier within cluster']}"
"AmazonBasics batteries are quite good in terms of capacity -- pretty much tied for the top spot compared to the other 6 brands I've tested, but other brands have the edge in capacity per dollar. When I computed value by dividing capacity by the cost per battery of the cheapest package size, they took a respectable third place, and they have the advantage of being a trusted name compared to the value leader. In the images I have attached a graph and a table summarizing my test results for the 7 types I've tested, but if you'd like to know more about how I test ... on to the in-dept test review.I've been on a bit of a quest to test all of the top-selling aaa batteries on Amazon in a repeatable, precise way. This means the same equipment, same environmental conditions, and same slots in the equipment will be used for each test. For each test, I fully discharge 3 batteries in my Opus BT-C2000 battery analyzer at rates of 100 ma, 200 ma, and 400 ma (discharge rate affects usable capacity). I have also performed this exact same test (same equipment, same conditions) on the ACDelco, Duracell Procell, Duracell Coppertop, Energizer MAX, Maxell, and Rayovac. I have linked the other brands I've reviewed at the end of this review if you'd like to take a look at the other results for comparison purposes. For the Amazon Basics batteries, the capacity at each discharge rate was:Disch Rt Capacity Runtime Sample use case100 mA 997 mAh 10 hrs Low-power LED flashlight200 mA 914 mAh 4.5 hrs Electronic toy / medium LED flashlight400 mA 623 mAh 1.5 hrs Motorized toy / bright LED flashlightNote that these (and all other Alkalines) would achieve somewhat higher capacity (maybe 1200 mAh) in a low discharge application like a mouse, keyboard, remote control, etc because alkaline batteries have internal resistance that reduces usable capacity at high discharge rates.The capacity of these batteries is among the best I've tested -- take a look at the attached data table for comparative data. For the cost (0.31/ea in a 36 pack right now), these are a decent but beatable value -- the power supplied per dollar spent is very good, but eclipsed by other currently available options.Comparison:These batteries do well capacity-wise, but value-wise are blown away by the currently cheapest energy/dollar battery that I've tested, the ACDelco aaa's. Their capacity results were:Disch Rt Capacity Runtime100 mA 1005 mAh 10 hrs200 mA 864 mAh 4.3 hrs400 mA 670 mAh 1.7 hrsAs you can see, the Amazon batteries were very comperable ... but, at the current time the AmazonBasics batteries are 0.31/ea (36 pack), while the ACDelco batteries are about 0.21/ea (48 pack) -- so the ACDelco are significantly cheaper per mAh. I did not test shelf life, so it's possible that these may hold up better sitting in a drawer. Although both the Amazon batteries and the ACDelco batteries are certainly made on contract by a third party, I do think that I trust Amazon a bit more to provide consistent batteries than ACDelco ... although I haven't had any trouble with my ACDelco batteries so far. It's also worth noting that the Amazon batteries come in clearly superior packaging - while the ACDelco batteries come in a horrible gigantic plastic blister pack, the Amazon batteries come in a closable cardboard box. If you don't go through a lot of batteries organization of your battery drawer is important to you, that could push them into the all-around winner category despite the 50 price premium.Finally, because another review specifically mentions the Rayovac AA's as being 'good' in some usage scenarios, I thought I'd share my findings for the Rayovac AAA's. In short, they're garbage - the Amazon batteries are better in EVERY case. It's possible that the Rayovac AA's are much better than the AAA's, but I think it's more likely that the version of the Rayovacs tested by the website that he got his results from is different than the most popular Rayovac on Amazon (I source all of my batteries from Amazon). I ran the Rayovac test several times because I couldn't believe how poorly they did ... here are some typical Rayovac results:Disch Rt Capacity Runtime100 mA 908 mAh 9 hrs200 mA 590 mAh 2.9 hrs400 mA 443 mAh 1.1 hrsMy other battery tests/reviews:I have posted reviews for Duracell Coppertop, Duracell Procell and ACDelco aaa alkaline batteries with capacity data gathered using the exact same method and equipment. To find those reviews for comparison purposes, go to the product pages linked below and search for 'mah' under 'all reviews' (or just browse to them on my profile). If/when I do additional aaa tests/reviews in the future, I will update this list.ACDelco AAA Super Alkaline BatteriesDuracell AAA Batteries Coppertop MN2400 - 20 PackDuracell Procell AAA Batteries PC2400BKD09Energizer MAX AAA BatteriesMaxell Alkaline Battery AAA CellRayovac Alkaline AAA Batteries",0.6174591361714201,0.9997142381231949,"{'risk_score': 0.6174591361714201, 'fraud_probability': 0.9997142381231949, 'risk_level': 'high', 'reasons': ['Highly unusual behavioural pattern', 'Unusual review length distribution']}"
"The Amazon product line seems to have decent products. These batteries are no exception. There are many reviewers who will say these batteries are terrible, good, great, awesome, unsurpassed, etc. It seems the general consensus is these batteries are great for their intended purpose.First, I recommend you take a look at C (https://www.amazon.com/gp/pdp/profile/A35H8Y36S43CSG/refcmcrdppdp) review. This is a highly credible review as he put in his time and effort to test the batteries out. With that said, here are my two cents on batteries I have previously bought on Amazon:Rayovac: Smart choice for your portable digital electronics, lasting just a little less long as other leading brands. They are perfect for powering low-drain devices like clocks, radios, remote controls and low-powered flashlights. If you're looking for an affordable and reliable battery, get these. But it only works for me on 3-5 uses using my eyelash curler. These are good and cheap batteries. I use them for simple things that don't require a lot of power, such as my computer mouse. They do not last long, but for the price I pay I don't expect them to. if I want a quick battery that isn't going to cost more than a couple dollars I usually go with these.Duracell:Despite the shorter use by date (3/2021) than my recently purchased Energizer Industrial AAA alkalines (12/2026), these ProCell (Duracell) alkaline AAA cells have the highest open circuit voltage I've ever measured. I admit to being a price shopper, opting for 48 for 15 (Prime) rather than 24 for 11. If I get results similar to the ProCell AA and D cells I recently purchased, the AAA's should be good performers. Sadly, they are a too-tight fit to use in my recent Surefire Titan (flashlight) one AAA cell LED flashlight - but that is on the Surefire. I received decent life on these batteries besides using them in a flashlight (remote control car, remote, smoke alarm (7 months) and others. Good batteries for the right price.Energizer:I have used these in my mouse for my computer, my Xbox 360 Remote and my cable box remote. Part of me feels like these didn't last as long as they could have, but my mouse never gets shut off and my Xbox gets used relatively often (I'm not a gamer, but I use the system to watch movies).I read other reviews where people say that one of the sellers is selling used batteries I didn't have that experience. Mine arrived in a package that didn't seem to have been tampered with prior to shipping.I just ordered some Duracell Procell batteries. I want to see if they'll last longer than these did and they did not.Energizer Lithium:I put these batteries into all of the electronic Z-wave door locks that I own, because the Duracell alkaline batteries that I had been using were dying very quickly (they'd only last a about 2 months, and rechargeable ones would only last 3-4 weeks). The locks are very low-drain because most of the time they are just sitting there, but when you unlock or lock it uses a large burst of energy. And that's exactly the type of device that lithium batteries are recommended to be used in. I installed these about 4 months ago and they're all still showing 100 charge in my system control panel! Granted it only moves in 25 levels so it could be anywhere from 76-100, but still even if it depleted at a rate of 25 every 4 months that means they'll be good for at least 1 year before being replaced. That's about 6x longer than alkaline batteries would last, or if they live up to the claim of 8x then I'll get 16 months out of them. Either way I'll be saving a lot of time and money not having to swap out batteries every few months, I can now put it on my yearly to-do list instead.I also use the 9V batteries in my smoke detectors, and according to the specs they should only need to be changed every 10 years instead of the 2 years that I was getting with alkalines. Sure they are 5-7x more expensive (depending if you buy in bulk or not), but I'll gladly pay that price to not have to get up on a ladder in the middle of the night to swap out beeping smoke detector batteries all the time.Amazon Basics Batteries:The only reason they didn't get 5 stars is because you can't really use them in products that have a higher voltage demand like you would get with the Energizer lithium. For the most part, they will perform like all the major brand with the exception of Rayovac. I find these last longer than then. As for regular Energizer and Duracell, I feel the difference is negligible. Some may or may not last longer than the Amazon brand while the others WILL last longer. I suppose it depends on the application they are used for.So in turn, yes I would recommend these to the typical consumer. The price is cheaper, the quality should be comparable to the rest. I would give them a try. If they are crappy then youre out a couple of bucks. Probably the same price when you decided to order the liver and onions you didnt like at so and so :P",0.6123683230363555,0.2342418595710217,"{'risk_score': 0.6123683230363555, 'fraud_probability': 0.2342418595710217, 'risk_level': 'low', 'reasons': ['Highly unusual behavioural pattern', 'Unusual review length distribution']}"
"Even when I’m outside in bright sunlight, the words of the book I’m reading are still crystal clear. That alone makes the Kindle Oasis worth what it cost me.The Kindle Oasis wakes up in just seconds, and any book I choose instantly opens, ready to be read.It is the perfect size and isn’t heavy or bulky. I really do read for hours at a time. Sometimes I pace the floor while I read. Sometimes I’m on my elliptical machine when I read. And sometimes I’m sitting down. No matter what I’m doing, the Kindle Oasis remains comfortable to hold, and it is always easy on my eyes.When I receive a book that is in PDF, most of the time I can enlarge the words. If it won’t allow me to enlarge the words, I can change the orientation of the page and the words are automatically larger. I am able to make notes on the book if needed, and I can highlight words and/or passages.My merlot leather cover is attractive. When I flip it open, it is just like opening the cover of a book.How to Make the Battery LastOn the Kindle Oasis page, it says that its “dual-battery charging system delivers months of battery life.” This was a huge thing for me. Instead of having to charge my tablet almost every day, I would be able to read for months without charging the Kindle!Is this how my Oasis has performed? Well, not so much. There are conditions that have to be met for the charge on your Oasis to last for two months.First, you have to limit your reading to thirty minutes a day. That one is impossible for me. There are days that I am only able to read for thirty minutes, but they don’t occur very often. My Kindle goes everywhere with me, and I use just about every spare moment to read.Second, the wireless needs to be turned off. That one is easy to do but not always easy to remember. The only time the wireless needs to be on is to download one or more books.Third, this is based on your light setting at 10. That is way too low for me. I keep my light setting anywhere from 16 to 18.I don’t limit my reading to thirty minutes a day, and I try to remember to keep my wireless turned off. My light setting is kept anywhere from 16 to 18, and I put my Kindle to sleep the second I’m done reading. So how long does a single charge last me? Ten days is the longest a charge has lasted me so far, but it would have kept a charge for several more days if I had remembered to turn my wireless off. Once I succeed in keeping my wireless off, I will let you know how long the charge lasts.Now, I don’t plug it in to charge as soon as the charge on the cover gets low. I allow my cover charge to go as low as it will possibly go and then the Kindle battery will start to drain since it can no longer charge from the cover. I allow it to drain down to about 50% before I plug the cover and Kindle into my computer to charge.The one thing that surprised me was that everything on the Oasis is in black and white. For some reason, I thought that maybe the book covers would appear in color. But since I bought the Oasis to read books on, color isn’t needed.Special offers do appear on my screen but only when my Kindle is going to sleep or waking up. They aren’t a distraction, and to be honest, they are kind of fun to look at. You can pay a higher price so they won’t appear on your Kindle if you would rather not see them.I asked myself some questions once I had my Kindle and knew just how it worked. If I had known before I bought my Kindle Oasis that the charge wouldn’t last for months, would I still have bought it? Yes, I would have. If I had known that everything would appear in black and white, would I still have bought it? Yes, I would have.",0.46771895255117607,0.9443879853808287,"{'risk_score': 0.46771895255117607, 'fraud_probability': 0.9443879853808287, 'risk_level': 'high', 'reasons': ['Highly unusual behavioural pattern', 'Unusual review length distribution']}"
"Even when Im outside in bright sunlight, the words of the book Im reading are still crystal clear. That alone makes the Kindle Oasis worth what it cost me.The Kindle Oasis wakes up in just seconds, and any book I choose instantly opens, ready to be read.It is the perfect size and isnt heavy or bulky. I really do read for hours at a time. Sometimes I pace the floor while I read. Sometimes Im on my elliptical machine when I read. And sometimes Im sitting down. No matter what Im doing, the Kindle Oasis remains comfortable to hold, and it is always easy on my eyes.When I receive a book that is in PDF, most of the time I can enlarge the words. If it wont allow me to enlarge the words, I can change the orientation of the page and the words are automatically larger. I am able to make notes on the book if needed, and I can highlight words and/or passages.My merlot leather cover is attractive. When I flip it open, it is just like opening the cover of a book.How to Make the Battery LastOn the Kindle Oasis page, it says that its dual-battery charging system delivers months of battery life. This was a huge thing for me. Instead of having to charge my tablet almost every day, I would be able to read for months without charging the Kindle!Is this how my Oasis has performed? Well, not so much. There are conditions that have to be met for the charge on your Oasis to last for two months.First, you have to limit your reading to thirty minutes a day. That one is impossible for me. There are days that I am only able to read for thirty minutes, but they dont occur very often. My Kindle goes everywhere with me, and I use just about every spare moment to read.Second, the wireless needs to be turned off. That one is easy to do but not always easy to remember. The only time the wireless needs to be on is to download one or more books.Third, this is based on your light setting at 10. That is way too low for me. I keep my light setting anywhere from 16 to 18.I dont limit my reading to thirty minutes a day, and I try to remember to keep my wireless turned off. My light setting is kept anywhere from 16 to 18, and I put my Kindle to sleep the second Im done reading. So how long does a single charge last me? Ten days is the longest a charge has lasted me so far, but it would have kept a charge for several more days if I had remembered to turn my wireless off. Once I succeed in keeping my wireless off, I will let you know how long the charge lasts.Now, I dont plug it in to charge as soon as the charge on the cover gets low. I allow my cover charge to go as low as it will possibly go and then the Kindle battery will start to drain since it can no longer charge from the cover. I allow it to drain down to about 50% before I plug the cover and Kindle into my computer to charge.The one thing that surprised me was that everything on the Oasis is in black and white. For some reason, I thought that maybe the book covers would appear in color. But since I bought the Oasis to read books on, color isnt needed.Special offers do appear on my screen but only when my Kindle is going to sleep or waking up. They arent a distraction, and to be honest, they are kind of fun to look at. You can pay a higher price so they wont appear on your Kindle if you would rather not see them.I asked myself some questions once I had my Kindle and knew just how it worked. If I had known before I bought my Kindle Oasis that the charge wouldnt last for months, would I still have bought it? Yes, I would have. If I had known that everything would appear in black and white, would I still have bought it? Yes, I would have.",0.45420964606618863,0.01885988430359733,"{'risk_score': 0.45420964606618863, 'fraud_probability': 0.01885988430359733, 'risk_level': 'low', 'reasons': ['Highly unusual behavioural pattern', 'Unusual review length distribution']}"
"Despite not being able to get one of these from Amazon until late June due to apparent strong demand, Best Buy was able to get one to me on the day of its release, April 27. Well done Best Buy! Having owned several previous Kindles, including the most recent Paperwhite model, I was unprepared for how small and light this new Oasis model is -- reading about it is one thing, but actually holding one in your hand is something else entirely. The Oasis and its battery-charging cover together weigh only one ounce more than the latest Paperwhite with no case. The Oasis _without_ its cover feels impossibly light at 4.6 ounces. Size-wise, the Oasis is nearly a square shape at about 5"" wide by 5.5"" tall. In fact, the shape is so different from traditional Kindle designs that I had to compare it next to my Paperwhite to verify that the screens are actually the same size (they are). It's the first Kindle I think I could easily fit into a jacket pocket without any effort, For frequent travelers like me, this is a key reason to buy one of these, as it's extremely compact and easy to pack in a briefcase or purse. The screen is the first front-lit Kindle I've ever seen where you simply cannot see any trace of the LEDs from any angle. No dark spots, no bright spots...just a completely uniform illumination from edge to edge in both directions. The ""page"" also appears to be nearly flush with the top glass surface, helping achieve the illusion of printed paper. It's sharp and clear, better than any Kindle I've used. The reader can be easily separated from the battery case by simply pulling them apart, since they are held together with magnets. After doing so, this is where the Amazon engineering team's achievements really become clear, as you just won't believe how lightweight this thing is. It's easy to imagine holding onto it for hours without any arm fatigue, and switching from hand to hand is a simple matter of rotating it 180 degrees when switching. The display instantly rotates, and the page turn buttons also ""follow"", with the top button always used to advance the page, and the bottom button always used to go backward. You can also use the screen to change pages as you always have with earlier touch screen models. The battery on the reader has a lower capacity than the cover's battery, so it runs down faster if you don't have it connected to the case. It's very easy to snap the reader back into its cover, which allows it to recharge while you continue to read. The power button and charge port are located in the upper top-right corner, more or less opposite from where they are on the Paperwhite. I find this location to be less awkward, as it's easier to reach on the top than it is on the bottom edge. The back surface of the reader (not the case) seems to easily attract fingerprints, and they are not so easy to clean off. You'd think that Amazon would have figured out a way to prevent this by now. It's a minor annoyance. Lots of reviewers in the tech press have complained loudly about this model's high price relative to other Kindle models (without ads, it's $310 vs. $139 for an ad-less Paperwhite). Is this a lot of money? Perhaps, but if you are a book addict and value an extremely lightweight reader that's easy on both your arms and your eyes, then I personally think it's worth it. A lot of thought and effort clearly went into designing and building this unit, and the price reflects that. Is it for everyone? Probably not, but there is obviously a market for it when you consider how many months you'll have to wait to get one on Amazon's website. If you are a serious reader, this device deserves a very close look -- I'm definitely keeping mine!",0.44682193290743727,1.5430436556754678e-07,"{'risk_score': 0.44682193290743727, 'fraud_probability': 1.5430436556754678e-07, 'risk_level': 'low', 'reasons': ['Unusual review length distribution']}"
"PROS:Well made/good constructionCompares very favorably to famous brand-name packsNo obvious brandingGreat attention to detailLarge main compartmentLots of subcompartmentsOrganizer for pens/sundries in the front compartmentCONS:Generic looksTop handle is minimally padded/perfunctoryStiff nylon in some interior parts makes an audible 'crinkly' sound when movedThe AmazonBasics Laptop Backpack is a well-made, fully featured backpack that can accommodate laptops up to 17 inches wide. This is a simply designed but good looking backpack that could meet most students' needs.The bag is basically a simple, but stylish enough design, with grey highlights and some orange piping on the front. There are enough characteristics to make the bag distinctive but there is no obvious branding on the front. If you look closely, you can find the Amazon basics logo embossed on the black zippers. But you'd have to look really closely. The shoulder straps are backed with a mesh-like material that reduces slippage and are sufficiently wide and padded so that they are comfortable.The main compartment is generous in size, open and closed with two zippers, and is basically broken up into two areas. The back area is generously padded on both sides and is meant to house the laptop. The padding is as good as or even more generous than what I have seen in standard backpacks made by companies like JanSport or L.L. Bean. There is a single large sleeve in front of the padding that is large enough to hold a standard, letter-sized manilla folder filled with papers. The front compartment is basically wide open and has room for traditional textbooks (assuming people still use these) or any other paraphernalia.There are two compartments in the front. There is mid-sized compartment that is in front of the main compartment and a smaller front compartment with the obligatory organizer/pockets to hold pens, a cellphone etc. There is even an internal clip in the front compartment for keys.Additionally, there are small mesh pockets on the sides of the pack and a quick-access, zippered pocket on the very top of the pack. There's even a small mesh pocket on the bottom of the left shoulder strap.Although I doubt that this is ballistic nylon, it appears to be very well made. The edges line up very well and there is no dog-earing in the fabric. The top handle is only minimally padded and a bit flimsy for a pack this size. Clearly, you could lift the pack via the handle to move it from the floor to your desk, but the handle isn't comfortable or sturdy enough to carry the pack like a suitcase. The nylon that makes up the dividers is stiff and makes an audible crinkly sound when manipulated. This likely will go away over time, but if you are late to class and walking into a quiet lecture hall this could be a distraction.The zippers move easily. They are large enough to grip and they all have nylon tags sewn to the end to make them easier to pull. The zippers seem strong enough for a pack of this size and caliber.All-in-all this is a very well made back pack at an excellent price point. It may not win major style points for some students, but it is a great basic backpack.",0.4364483314745076,0.9996943168131364,"{'risk_score': 0.4364483314745076, 'fraud_probability': 0.9996943168131364, 'risk_level': 'high', 'reasons': ['Highly unusual behavioural pattern', 'Unusual review length distribution', 'Semantic outlier within cluster']}"
"As a bluetooth speaker, the Tap rocks! The sound quality is excellent, plenty loud when needed, and excellent quality with no stutters in streaming. I bought this one instead of the Echo because it is portable, and I can lug it from room to room. The charging stand is very convenient, and the Tap stays there most of the time. Having to press the button to activate each of the voice commands is not an issue for me, but is something to consider. (If you want hands free use, you may want the big brother Echo device, which is hands free, but tethered in place by a power cord, so not portable). The feel of the Tap with the black fabric cover is nice, and will not slip out of your hand. The fabric is like tough upholstery cover, so it won't stain or be easy to damage, but is quite attractive. I am glad they did that, as bare plastic would be easy to drop. I found it easy to pair with bluetooth and wireless, and it works as advertised! I mostly just use it for playing music and asking Alexa silly questions for fun! I occasionally use it for shopping lists, which shows up on my phone, and checking the weather. Who knows what the future holds,when I have time to sit down and really learn all that it can do? I understand that Amazon plans to add more Alexa skills all the time, and if one got into smart house control with compatible products, the Tap would eliminate all remotes, which I already have too many of. I think it is a really fun, cool item, and I am glad I got it! It is so much fun to use voice commands instead of typing, especially the tiny smart phone typing ! I could get used to this! I have the Alexa app on my phone, which allows certain voice commands to show up on my phone, like shopping lists, to do lists, calendar. The Tap can also check traffic, weather, movies, etc directly through Wi Fi, no phone needed. However, the Alexa phone app actually helps you figure out what you can do with the Tap. The Tap can read Audible and some kindle ebooks to you as well! BTW, I haven't had any problems having it understand me, which is amazing, since I grew up in Texas and expected a problem with my accent. Obviously, this item is ideal for people who are Amazon Prime members, so you can stream Prime Music, although it also streams Pandora and other music services, and does many things without any connection to Amazon. I guess the most unique thing about the Tap is its ability to stream wi fi music directly, without a computer or phone driving it - that and the voice control. I have paid more for smaller ""just"" bluetooth speakers, so to me, this was a super deal, and continues to be a source of fun and entertainment!",0.3748518521298438,0.9999955915132214,"{'risk_score': 0.3748518521298438, 'fraud_probability': 0.9999955915132214, 'risk_level': 'high', 'reasons': ['Highly unusual behavioural pattern', 'Unusual review length distribution', 'Semantic outlier within cluster']}"
"I am extremely disappointed with these batteries, which stems not from longevity or power, but with fit. Almost immediately upon receiving them I installed them into three electric candles. No joy. I cleaned the contacts, still no joy. I tested the batteries, full charge. Just for grins, I installed into one candle three Ray-O-Vac brand batteries, and the candle lit with no problem. Removed the Ray-O-Vacs, installed the Amazons, and again, no joy. I repeated this a couple of times with the same results. And I tried this in the other two candles with identical results: All three candles lit with the Ray-O-Vacs, none with the Amazons. Knowing the issue was not with candles, I took a Ray-O-Vac and lined it up with an Amazon, and discovered something interesting: the batteries were just a wee bit different.The length of the positive terminals are different, just a tad longer on the Ray-O-Vac (see picture). The Ray-O-Vac terminal is taller (longer) while the Amazon terminal is squat-tier and therefore shorter. The difference in length is tiny, no question: but when you're putting batteries into a rather cheap device to start with, that tiny bit of length in this case seems to be the difference between one battery forming a sufficient connection and the other one not. I'll keep the Amazons to use in devices (mice, for example) that are likely more solidly built than these candles and have a greater connection tolerance (or a stronger spring) to hold the battery firmly in place. I am concluding that when replacing batteries in an older device (that may not force as firm a connection) or in a cheapo device that may not hold batteries tightly from the get-go, use a branded-name battery.I am a longtime and extremely satisfied user of Amazon Basic computer cables (among their first products in the Basics line), but was recently disappointed with another item I purchased outside of the computer connectors and cables line (that being dog house-training piddle pads, which have not proven as absorbent as similarly-priced products, and I've bought a lot of different brands). The batteries were my second foray into Basics product lines outside of the oh-so-dependable-cables arena, and now I'm 2 for 2 in the disappointed column. I never thought there was a difference in batteries, and now I know differently. The next time I see a Duracell commercial emphasizing reliability and dependability, I'll think back to this experience, as I will when selecting batteries in the future. I so wanted to like these Amazon batteries, too.",0.3655517845913442,2.9498640691514807e-06,"{'risk_score': 0.3655517845913442, 'fraud_probability': 2.9498640691514807e-06, 'risk_level': 'low', 'reasons': ['Unusual review length distribution']}"
"I like AmazonBasics products, so I was excited to see these batteries. To find out if they were a good value, I looked up data online. Bottom line:-- For flashlights, toys, and steady drain devices, you'll be better off buying Rayovac Alkalines here on Amazon.-- For cameras and photo flashes, Duracell Coppertops will be better.Here's why: Rayovacs cost a little bit more per battery, but they hold more energy than these AmazonBasics batteries. As a result, the final price per amount of power is about the same. You just won't have to change batteries as often.Those Rayovacs work best in steady drain devices, but not so well in cameras or flashes. For those high drain devices, Duracell Coppertops hold up better and end up being cheaper.Battery Ninja tested these AmazonBasics AA's in toothbrushes I did some calculations and found that these batteries offer a reasonable price per unit of power (mWh), but that they do not carry as much energy as others. The test results show that these batteries will run out faster than others, at least in the toothbrushes. There were no test results vs. digital cameras, photo flashes, or toys, so I'm extrapolating that these will perform like Rayovacs, not like Duracell Coppertops.So, the only data to compare here is the toothbrush test. For energy delivered, these AmazonBasics batteries cost about the same as Rayovac batteries but will die sooner. To say that another way, these batteries cost less, but also deliver less power.Both Rayovac and Amazon Basics are better than Energizer batteries, which appear to consistently give less power and still cost more. I guess the money goes to the Energizer Bunny.Duracell Coppertops will last longer in flashlights, toys, and toothbrushes, but cost a little bit more per unit of power (mWh). On the other hand, they hold up better in cameras and similar electronics. They're probably the best all around battery. So, if you don't like changing batteries and a willing to spend a tiny bit more, Coppertops are a good way to go.Finally, the best value battery is interesting: it is the Costco Kirkland Signature. Battery Ninja's results show that and so do the tests from Consumer Reports. You can buy those Costco batteries here on Amazon, but the price is higher than you'd get at the club. Of course, I'm not a Costco member, so it doesn't matter to me... but buying them here on Amazon is not a good value.",0.362224049428247,0.9999987250604386,"{'risk_score': 0.362224049428247, 'fraud_probability': 0.9999987250604386, 'risk_level': 'high', 'reasons': ['Highly unusual behavioural pattern', 'Unusual review length distribution']}"
